1,2090.8019,930.58,,978.50,5,0,162,3588179858,14417251,1656274170,,1030161991,
2,2090.8019,556.77,,603.82,3,0,162,2218058576,7854296,838941184,,528900046,
4,2090.8019,456.58,,500.02,0,0,162,1839836781,6232948,589778704,,278760552,
8,2090.8019,444.85,,492.81,2,0,162,1800309356,6950789,649146576,,154441306,
10,2090.8019,463.17,,506.86,2,0,162,1863382077,6117447,761017072,,130301830,
20,2090.8019,464.72,,511.98,1,0,162,1877128550,11482921,775220338,,80268000,
50,2090.8019,467.81,,516.51,2,0,162,1892513088,6983743,916141303,,49541195,
100,2090.8019,459.53,,507.67,1,0,162,1860080569,8497880,948228652,,39527869,
200,2090.8019,467.53,,514.25,2,0,162,1882481771,9963292,1007203305,,35569033,
400,2090.8019,563.07,,611.82,1,0,162,2243055999,11380504,1161418434,,234544170,
800,2090.8019,562.56,,606.33,1,0,162,2234195710,10414773,1181014089,,231913102,
1000,2090.8019,469.04,,512.86,1,0,162,1890267181,8113133,1057917221,,32864642,
1,2090.8019,930.92,,977.94,3,0,162,3594009233,12594518,1656773537,4121664901,,1031036503,1088380,
2,2090.8019,558.77,,602.66,0,0,162,2218814807,10550723,853900851,4617747363,,527831905,1080671,
4,2090.8019,458.48,,502.48,1,0,162,1849055768,8137940,595827432,3863871659,,278919312,1081593,
8,2090.8019,445.68,,493.49,1,0,162,1810063199,7167742,644674092,3519295698,,154155957,1086173,
10,2090.8019,461.62,,508.84,1,0,162,1867318701,7137024,756922143,3378565108,,129639537,1080568,
20,2090.8019,465.42,,508.77,3,0,162,1866324134,9751388,785206517,3313073307,,80907647,1075909,
50,2090.8019,468.67,,511.93,1,0,162,1884881354,7534036,931387199,3252414858,,51218480,1080056,
100,2090.8019,461.12,,508.66,3,0,162,1861580325,10281093,958148432,3249136943,,40085476,1085193,
200,2090.8019,465.13,,513.75,2,0,162,1881983519,7982531,1001207428,3235323827,,34689241,1085956,
400,2090.8019,562.47,,609.34,1,0,163,2237165368,11141122,1163494298,3455639910,,235595862,2485368,
800,2090.8019,564.40,,613.07,2,0,162,2247473789,11193546,1168215460,3451309844,,231662930,1203296,
1000,2090.8019,470.62,,519.53,1,0,162,1904697017,11762500,1045067538,3228986005,,30455597,83844,
